('1793091064', 'flora小肥肥酱', 'f', '1105', '13767'), 
('1782523593', 'Dcxuxu', 'f', '769', '13700'), 
('2667148673', 'MAGGIE-譚', 'f', '375', '13538'), 
('3839018258', '美芽团', 'f', '654', '13677'), 
('3889538668', '蘑菇团儿官网微博', 'f', '1124', '13462'), 
('1608034005', 'ss白思思', 'f', '106', '13317'), 
('5108511337', '买手团CatsBuyer', 'f', '329', '13230'), 
('2936057725', '神马定制', 'm', '1109', '13235'), 
('1721437113', '欢喜喜喜喜喜喜喜', 'f', '669', '13189'), 
('1871824023', '淼淼_May', 'f', '498', '13193'), 
('2628872075', 'Miu是个乘乘', 'f', '82', '13116'), 
('1931211570', 'KeycO-peng', 'f', '841', '12980'), 
('2694799333', '萝卜的大姐', 'f', '745', '13082'), 
('1884972940', 'vivi要做女屌丝', 'f', '488', '13038'), 
('1826290180', '伦敦买手MINI', 'f', '1806', '13027'), 
('2137606515', '魔鬼带我走', 'f', '384', '12991'), 
('1774571067', '软妹儿魚子醬', 'f', '1948', '12971'), 
('2545941174', '神奇的小薇', 'f', '168', '13370'), 
('3856452180', 'JINSENGBING', 'f', '1180', '12874'), 
('1809408183', '饼豆子', 'f', '560', '12780'), 
('1923299377', '得瑟潘', 'f', '542', '12866'), 
('1792573481', 'hutaosu', 'f', '589', '12716'), 
('1576973772', '小小悟空站长', 'f', '1064', '12710'), 
('2902247482', '雨蒙er_', 'f', '298', '12692'), 
('2985636560', 'MINI团购', 'f', '390', '12758'), 
('3774384911', 'Graces_lady', 'f', '534', '12479'), 
('1998096364', '邱大侠V', 'f', '320', '12321'), 
('3046633253', '真礼荟', 'f', '352', '12314'), 
('1884722512', 'Foolish--Boy', 'm', '356', '12247'), 
('1874312763', '女王团团购', 'f', '431', '12404'), 
('1794367874', '芭时尚', 'f', '1999', '12196'), 
('2905606651', '樱桃不走小清新路线', 'f', '384', '12266'), 
('3249399652', '钱多多的铺子', 'f', '538', '12335'), 
